topword	middleword	bottomword	chose_topword
 pain	 life	 dirt	1
 life	 pain	 country	0
to forget	 country	 pain	0
a gift	 dish	a box	1
 dish	a gift	a ladder	1
 gentle	a story	gray	1
a story	 gentle	a nose	1
brown	a reason	to bother	0
a woman	to bother	a reason	0
 milk	a chair	a story	0
 gentle	a story	a chair	0
to eat	a corner	a chair	0
a story	a chair	a corner	1
a chair	a story	gray	1
a cloud	a shirt	to deceive	1
a shirt	a cloud	 noise	1
a collar	green	a thigh	1
green	a collar	a nest	0
 sick	a nest	a collar	1
a nest	 sick	to hear	0
 thin	to hear	 sick	0
 grief	 sick	 grass	1
 sick	 grief	 country	1
a cheek	to grow	a word	0
 hair	a word	to grow	0
 naked	to eat	a box	0
a ladder	a box	to eat	0
 life	the ground	 money	1
the ground	 life	 pain	0
a picture	 pain	 life	0
 famous	to choose	a word	1
to choose	 famous	a family	1
 thin	to hear	to arrive	0
to destroy	to arrive	to hear	1
to arrive	to destroy	 soft	1
to bother	to believe	to arrive	0
to destroy	to arrive	to believe	0
a corner	a picture	 gentle	1
a picture	a corner	a chair	0
a story	a chair	a corner	1
a chair	a story	gray	1
 meat	 week	 weight	1
 week	 meat	a box	0
a ladder	a box	 meat	0
 people	a woman	 truth	1
a woman	 people	 chest	1
a nose	 gentle	to carry	0
 clothes	to carry	 gentle	1
to carry	 clothes	to deceive	0
a mistake	to deceive	 clothes	1
to deceive	a mistake	black	0
a thigh	black	a mistake	0
to arrive	to believe	to bother	1
to believe	to arrive	to destroy	0
 soft	to destroy	to arrive	0
a shirt	 under	yellow	1
 under	a shirt	a cloud	1
 clothes	 under	a shirt	0
to deceive	a shirt	 under	0
the ground	orange	a heel	1
orange	the ground	 life	1
to win	a ladder	yellow	1
a ladder	to win	to steal	0
 soft	to steal	to win	0
 thick	a needle	a teacher	0
 other	a teacher	a needle	0
a grandfather	a pillow	 clever	1
a pillow	a grandfather	orange	1
a word	to seek	 famous	1
to seek	a word	 hair	1
a shirt	 under	yellow	1
 under	a shirt	to deceive	1
 grass	 sad	to hear	0
to arrive	to hear	 sad	1
to hear	to arrive	to destroy	0
 soft	to destroy	to arrive	0
to teach	a shoe	to disturb	0
a boot	to disturb	a shoe	1
to disturb	a boot	to know	1
to destroy	to arrive	 famous	1
to arrive	to destroy	 soft	1
 dirt	 weight	a cheek	1
 weight	 dirt	 life	0
 pain	 life	 dirt	1
 life	 pain	 country	1
a nest	blue	a heel	1
blue	a nest	 sick	0
 grass	 sick	a nest	0
a family	 famous	a pillow	1
 famous	a family	orange	1
a teacher	a needle	 thick	1
a needle	a teacher	a knife	1
 cheap	purple	a message	0
to read	a message	purple	1
a message	to read	 thin	1
to deceive	a shirt	a nest	1
a shirt	to deceive	a mistake	0
black	a mistake	to deceive	0
to teach	a toe	to disturb	0
a boot	to disturb	a toe	1
to disturb	a boot	to teach	1
a fish	brown	 cheap	1
brown	a fish	a box	1
to read	a message	a corner	1
a message	to read	gray	1
 sad	to speak	 thin	1
to speak	 sad	to hear	0
to arrive	to hear	 sad	1
to hear	to arrive	to destroy	0
an arm	to destroy	to arrive	0
 dirt	 weight	a cheek	1
 weight	 dirt	green	0
 cheap	green	 dirt	0
a shelf	an arm	a roof	1
an arm	a shelf	a chair	0
a story	a chair	a shelf	1
a chair	a story	 gentle	1
a nest	a fish	to lose	0
 dirt	to lose	a fish	1
to lose	 dirt	 clothes	0
to teach	 clothes	 dirt	1
 clothes	to teach	 dish	0
a ladder	 dish	to teach	0
a picture	 naked	to teach	1
 naked	a picture	 chest	0
a toe	 chest	a picture	1
 chest	a toe	an item	1
a gift	 cheap	to eat	1
 cheap	a gift	 under	0
a boot	 under	a gift	0
 child	a shoe	an item	0
a cloud	an item	a shoe	0
 weak	to carry	a teacher	0
a grandfather	a teacher	to carry	1
a teacher	a grandfather	a box	0
white	a box	a grandfather	1
a box	white	 pain	0
a thigh	 pain	white	1
 clever	a toe	an item	1
a toe	 clever	a story	0
a nose	a story	 clever	1
a story	a nose	 source	1
a knife	 clothes	gray	0
 gentle	gray	 clothes	0
 clothes	 dirt	a cheek	1
 dirt	 clothes	to teach	1
 meat	a business	to deceive	0
a shelf	to deceive	a business	0
 cheap	to believe	a woman	0
 memory	a woman	to believe	0
a leg	 grief	a thigh	1
 grief	a leg	to grow	0
a chair	to grow	a leg	0
 cheap	to forget	to arrive	1
to forget	 cheap	a gift	0
 under	a gift	 cheap	0
 chest	a picture	a nose	0
a bed	a nose	a picture	0
 power	 gentle	pink	1
 gentle	 power	 grass	1
 country	a mistake	a woman	1
a mistake	 country	to choose	0
 sick	to choose	 country	0
a reason	 milk	a nest	1
 milk	a reason	a woman	0
 memory	a woman	a reason	0
to eat	to sell	to forget	1
to sell	to eat	a corner	1
a needle	 thick	brown	0
a fish	brown	 thick	1
brown	a fish	to lose	0
 dirt	to lose	a fish	0
a shoe	to destroy	to forget	0
to arrive	to forget	to destroy	0
 dirt	to lose	 noise	0
blue	 noise	to lose	0
a collar	yellow	a table	1
yellow	a collar	black	0
 pain	black	a collar	0
a roof	 other	to choose	0
 sick	to choose	 other	0
orange	brown	a fish	0
to lose	a fish	brown	1
a fish	to lose	 dirt	1
 people	 source	a woman	1
 source	 people	to choose	1
black	a collar	a knife	1
a collar	black	a month	1
 chest	a picture	a nose	0
a bed	a nose	a picture	0
to read	purple	to win	0
 noise	to win	purple	1
to win	 noise	 sad	0
a family	 sad	 noise	0
 source	a cheek	a bed	0
to bother	a bed	a cheek	0
red	purple	to read	1
purple	red	a collar	1
 child	a heel	an item	0
a cloud	an item	a heel	1
an item	a cloud	to carry	1
a woman	a reason	a vein	1
a reason	a woman	 memory	1
 power	 soft	pink	0
to read	pink	 soft	0
 memory	a woman	to believe	0
 cheap	to believe	a woman	0
to sell	to speak	to hear	0
 cheap	to hear	to speak	0
yellow	 clever	a story	0
a nose	a story	 clever	0
 naked	to seek	 sick	0
the ground	 sick	to seek	0
to arrive	to forget	 cheap	0
a gift	 cheap	to forget	1
 cheap	a gift	 under	1
 sad	to disturb	 grief	1
to disturb	 sad	a family	1
 truth	to add	to arrive	0
 money	to arrive	to add	0
a knife	a shirt	to teach	0
 dish	to teach	a shirt	0
a mistake	 country	to choose	0
 sick	to choose	 country	0
 milk	to melt	a needle	0
to speak	a needle	to melt	0
green	a table	 weight	0
a teacher	 weight	a table	0
to lose	 meat	a nest	0
white	a nest	 meat	0
 country	a mistake	a woman	1
a mistake	 country	to choose	0
 sick	to choose	 country	0
to read	pink	red	0
a table	red	pink	0
to deceive	a grandfather	a box	0
an arm	a box	a grandfather	1
a box	an arm	a toe	0
an item	a toe	an arm	0
 famous	a vein	to speak	0
to hear	to speak	a vein	1
to speak	to hear	 cheap	1
a boot	 under	to melt	0
 milk	to melt	 under	0
a chair	to grow	 dirt	0
 clothes	 dirt	to grow	1
 dirt	 clothes	a knife	1
a vein	to believe	 cheap	1
to believe	a vein	 famous	1
a month	green	purple	0
a collar	purple	green	0
a needle	 thin	pink	1
 thin	a needle	a heel	1
 naked	to seek	 sick	0
the ground	 sick	to seek	0
a gift	 cheap	to eat	1
 cheap	a gift	white	1
to read	purple	red	0
a month	red	purple	0
a reason	 milk	a nest	0
a shirt	a nest	 milk	1
a nest	a shirt	to teach	0
 dish	to teach	a shirt	0
 power	 soft	pink	0
red	pink	 soft	1
pink	red	 gentle	1
purple	green	a month	1
green	purple	red	0
a month	red	purple	0
 people	 source	a woman	1
 source	 people	to choose	1
 country	a mistake	to arrive	1
a mistake	 country	to choose	0
 sick	to choose	 country	0
a month	black	 pain	0
a thigh	 pain	black	1
 pain	a thigh	a pillow	1
to melt	a ladder	 weight	0
a teacher	 weight	a ladder	0
a nose	a story	to add	0
 truth	to add	a story	1
to add	 truth	a vein	1
a corner	to eat	a nest	1
to eat	a corner	 week	1
 cheap	to bother	 sad	0
a family	 sad	to bother	0
to lose	a fish	a nest	1
a fish	to lose	 dirt	1
a woman	 life	a fish	1
 life	a woman	 grass	1
to forget	 country	to seek	0
 hair	to seek	 country	0
a cheek	 clever	to deceive	0
a leg	to deceive	 clever	0
to seek	 other	a shelf	0
 famous	a shelf	 other	1
a shelf	 famous	a cheek	0
a teacher	a cheek	 famous	0
 sick	blue	to hear	1
blue	 sick	 people	0
to seek	 people	 sick	1
 people	to seek	 hair	1
 week	a reason	the ground	1
a reason	 week	 cheap	0
a grandfather	 cheap	 week	0
 chest	to know	the ground	0
to steal	the ground	to know	0
a pillow	to destroy	 weak	1
to destroy	a pillow	to bother	1
 clothes	a thigh	 money	0
 clever	 money	a thigh	1
 money	 clever	a cheek	1
 chest	to believe	 week	0
 pain	 week	to believe	1
 week	 pain	a chair	1
a table	to speak	black	1
to speak	a table	 meat	0
white	 meat	a table	0
to speak	a roof	 truth	1
a roof	to speak	a table	1
yellow	a cloud	to melt	1
a cloud	yellow	 sick	0
 people	 sick	yellow	1
 sick	 people	to seek	0
 hair	to seek	 people	0
black	to speak	a table	1
to speak	black	a reason	0
 week	a reason	black	1
a reason	 week	 people	0
to seek	 people	 week	0
 source	to win	 gentle	1
to win	 source	to choose	0
 hair	to choose	 source	0
a shirt	a business	a woman	1
a business	a shirt	 soft	0
to win	 soft	a shirt	0
 power	to disturb	a story	1
to disturb	 power	 child	0
to grow	 child	 power	1
 child	to grow	a ladder	1
 thick	a shoe	a word	0
to carry	a word	a shoe	1
a word	to carry	a corner	0
 famous	a corner	to carry	1
a corner	 famous	a knife	0
a thigh	a knife	 famous	1
to add	to read	a table	0
 meat	a table	to read	1
a table	 meat	white	0
a reason	white	 meat	0
green	a picture	orange	1
a picture	green	to lose	1
a box	 hair	 soft	1
 hair	a box	a business	0
a shirt	a business	a box	0
a nest	a shirt	 soft	1
a shirt	a nest	a bed	0
to bother	a bed	a nest	1
a bed	to bother	 power	1
to lose	orange	 milk	1
orange	to lose	 source	0
to choose	 source	to lose	1
 source	to choose	to believe	1
a shoe	green	 country	1
green	a shoe	 thick	0
to know	 thick	a shoe	1
 thick	to know	 powerful	0
a cheek	 powerful	to know	0
to disturb	 naked	 soft	1
 naked	to disturb	a story	1
a nose	an item	purple	1
an item	a nose	a teacher	0
to eat	a teacher	a nose	1
a teacher	to eat	 weight	0
a picture	 weight	to eat	1
 weight	a picture	green	1
white	 milk	 grief	1
 milk	white	red	0
to lose	red	white	1
red	to lose	 gentle	0
an item	 gentle	to lose	1
 gentle	an item	a nose	0
 chest	to forget	 powerful	1
to forget	 chest	 money	0
 clever	 money	 chest	1
 money	 clever	to deceive	0
a leg	to deceive	 clever	1
to deceive	a leg	 clothes	1
a word	a shoe	 thick	1
a shoe	a word	to carry	1
to eat	to teach	an arm	1
to teach	to eat	white	1
 cheap	 week	 pain	1
 week	 cheap	 memory	0
 naked	 memory	 cheap	1
 memory	 naked	to disturb	1
 soft	 clothes	a nest	1
 clothes	 soft	to win	1
 chest	to believe	the ground	1
to believe	 chest	 money	1
 clothes	an arm	 noise	1
an arm	 clothes	 soft	0
an item	 soft	 clothes	1
 soft	an item	a nose	0
a teacher	a nose	an item	1
a nose	a teacher	to eat	1
a chair	 pain	blue	1
 pain	a chair	a family	1
a teacher	a nose	 dirt	1
a nose	a teacher	an arm	1
to bother	a pillow	a heel	1
a pillow	to bother	 power	1
a woman	a family	 under	1
a family	a woman	 grass	1
pink	 sad	 people	1
 sad	pink	to arrive	1
white	 dish	to read	1
 dish	white	red	1
 powerful	to forget	 chest	1
to forget	 powerful	a cheek	1
to disturb	 naked	 soft	1
 naked	to disturb	a story	1
a toe	a fish	white	1
a fish	a toe	a boot	1
a gift	brown	red	1
brown	a gift	purple	1
a reason	brown	to lose	1
brown	a reason	 week	1
to teach	a thigh	 clothes	1
a thigh	to teach	an arm	1
 child	 powerful	a cheek	1
 powerful	 child	to grow	1
brown	a knife	a thigh	1
a knife	brown	a gift	1
a fish	 life	a woman	1
 life	a fish	a toe	1
a box	 hair	 soft	1
 hair	a box	a business	1
 source	to win	 gentle	1
to win	 source	to choose	1
 weak	to win	 source	1
to win	 weak	to know	1
a word	a heel	a boot	1
a heel	a word	to carry	1
 dirt	a cheek	a teacher	1
a cheek	 dirt	 dish	1
 sad	 truth	the ground	1
 truth	 sad	 people	1
to believe	to choose	 hair	1
to choose	to believe	 chest	1
 famous	a corner	gray	1
a corner	 famous	a knife	1
to choose	 source	 week	1
 source	to choose	to believe	1
a corner	to carry	a picture	1
to carry	a corner	gray	1
 clothes	a leg	a boot	1
a leg	 clothes	 soft	1
 cheap	 week	 pain	1
 week	 cheap	 memory	0
 naked	 memory	 cheap	1
 memory	 naked	to disturb	0
 power	to disturb	 naked	1
to disturb	 power	 child	1
a nose	an item	purple	1
an item	a nose	 dirt	1
a grandfather	to sell	 weak	1
to sell	a grandfather	a woman	1
to bother	a pillow	a family	1
a pillow	to bother	 chest	1
a ladder	to grow	 gentle	1
to grow	a ladder	to speak	1
to seek	 people	 chest	1
 people	to seek	 hair	1
a knife	 famous	a cheek	1
 famous	a knife	a thigh	1
 chest	to know	the ground	1
to know	 chest	 money	1
a vein	a boot	 thick	1
a boot	a vein	 thin	1
 country	green	a shoe	1
green	 country	to forget	0
 chest	to forget	 country	1
to forget	 chest	 money	1
a nest	a shirt	 soft	1
a shirt	a nest	a bed	1
to destroy	a shirt	a nest	1
a shirt	to destroy	a pillow	1
a boot	a heel	 thick	1
a heel	a boot	a vein	0
 thin	a vein	a boot	1
a vein	 thin	to know	0
 chest	to know	 thin	1
to know	 chest	 money	0
yellow	a cloud	to melt	1
a cloud	yellow	to lose	0
 gentle	to lose	yellow	1
to lose	 gentle	an item	0
a nose	an item	 gentle	1
an item	a nose	a teacher	1
to teach	 chest	 money	1
 chest	to teach	an arm	0
 noise	an arm	to teach	1
an arm	 noise	a collar	0
to destroy	a collar	 noise	1
a collar	to destroy	a pillow	0
 grass	a woman	to grow	1
a woman	 grass	to steal	1
a bed	a nest	a business	1
a nest	a bed	a heel	1
 thick	a boot	a word	1
a boot	 thick	to know	1
a family	a table	 meat	1
a table	a family	a woman	1
brown	a needle	a thigh	1
a needle	brown	a gift	0
purple	a gift	brown	1
a gift	purple	 sick	1
to melt	gray	 country	1
gray	to melt	a message	1
to lose	orange	 milk	1
orange	to lose	 gentle	1
white	a fish	a toe	1
a fish	white	red	1
to carry	a word	black	1
a word	to carry	a corner	1
a chair	 grief	blue	1
 grief	a chair	a family	1
blue	 grief	a chair	1
 grief	blue	to hear	1
a business	a box	 famous	1
a box	a business	a shirt	1
 weak	to sell	 clever	1
to sell	 weak	to win	0
 source	to win	 weak	1
to win	 source	to choose	0
to believe	to choose	 source	1
to choose	to believe	 chest	0
to eat	a teacher	an arm	1
a teacher	to eat	white	1
a ladder	to grow	 gentle	1
to grow	a ladder	to speak	1
 memory	 cheap	a grandfather	1
 cheap	 memory	 naked	1
to win	 soft	an item	1
 soft	to win	 source	1
brown	a knife	white	1
a knife	brown	a gift	1
a nest	a collar	to destroy	1
a collar	a nest	a business	1
orange	a story	to add	0
a month	to add	a story	0
to speak	a roof	 truth	1
a roof	to speak	a table	1
to arrive	green	a shoe	1
green	to arrive	a needle	1
gray	a corner	 famous	1
a corner	gray	 country	0
to forget	 country	gray	1
 country	to forget	 powerful	0
 child	 powerful	to forget	1
 powerful	 child	to grow	1
 cheap	 week	 pain	1
 week	 cheap	 memory	1
yellow	a cloud	to melt	1
a cloud	yellow	to lose	1
 country	gray	red	1
gray	 country	to forget	1
to add	a story	orange	1
a story	to add	a month	1
 child	 power	a cheek	1
 power	 child	a fish	1
a shelf	 other	to seek	1
 other	a shelf	 famous	1
 gentle	to lose	 source	1
to lose	 gentle	to win	1
 meat	a table	a family	1
a table	 meat	white	1
to teach	a leg	a boot	1
a leg	to teach	to eat	1
to carry	a word	black	1
a word	to carry	a corner	1
to believe	to choose	 hair	1
to choose	to believe	the ground	1
 memory	 cheap	a grandfather	1
 cheap	 memory	 naked	1
 money	 chest	to teach	1
 chest	 money	 clever	1
 famous	a box	a business	1
a box	 famous	a knife	1
a leg	to deceive	 weak	1
to deceive	a leg	 noise	1
 country	green	 milk	1
green	 country	to forget	1
the ground	 truth	 sad	1
 truth	the ground	to steal	1
 country	green	 milk	1
green	 country	to forget	0
 powerful	to forget	 country	1
to forget	 powerful	a cheek	1
a grandfather	to sell	 weak	1
to sell	a grandfather	 under	0
a cloud	 under	a grandfather	1
 under	a cloud	yellow	1
purple	a gift	a business	1
a gift	purple	 sick	1
red	white	a reason	1
white	red	 country	1
 dish	 grass	a shoe	0
 thick	a shoe	 grass	1
a shoe	 thick	to know	1
to bother	a bed	a heel	1
a bed	to bother	 power	0
 child	 power	to bother	1
 power	 child	to eat	1
 other	a message	green	1
a message	 other	a shelf	1
blue	 grief	a chair	1
 grief	blue	 country	1
pink	 sad	 people	1
 sad	pink	 sick	1
 thick	a shoe	a word	1
a shoe	 thick	to know	1
 soft	 clothes	a nest	1
 clothes	 soft	to win	1
to eat	to teach	black	1
to teach	to eat	 weight	1
to forget	 country	to seek	1
 country	to forget	 chest	1
 chest	to believe	the ground	1
to believe	 chest	to teach	1
a family	a chair	 meat	1
a chair	a family	a woman	1
a shirt	a business	a woman	1
a business	a shirt	 soft	1
 country	gray	red	1
gray	 country	to forget	0
 powerful	to forget	 country	1
to forget	 powerful	a cheek	1
a business	a box	 famous	1
a box	a business	a shirt	1
gray	a box	a business	1
a box	gray	to hear	1
a vein	a boot	 thick	1
a boot	a vein	 thin	1
 naked	 memory	blue	1
 memory	 naked	to disturb	1
a table	to speak	black	0
a reason	black	to speak	0
to grow	 child	to eat	1
 child	to grow	a ladder	1
a ladder	to grow	 gentle	1
to grow	a ladder	to speak	1
a message	to melt	to sell	1
to melt	a message	 other	1
an arm	to teach	to eat	1
to teach	an arm	 noise	1
a box	 hair	 soft	1
 hair	a box	a business	1
to forget	 country	to seek	1
 country	to forget	 powerful	1
a corner	to carry	a picture	0
green	a picture	to carry	1
a picture	green	a shoe	1
a bed	a nest	a business	1
a nest	a bed	a heel	1
pink	 sick	 people	1
 sick	pink	to arrive	1
to melt	gray	 country	1
gray	to melt	a message	1
 gentle	 thin	to hear	1
 thin	 gentle	 milk	1
a knife	to add	a shoe	0
a heel	a shoe	to add	1
a shoe	a heel	a business	1
an arm	a table	a thigh	0
pink	a thigh	a table	0
 meat	brown	 child	1
brown	 meat	to win	1
a leg	to bother	to lose	1
to bother	a leg	blue	1
an arm	a table	a thigh	1
a table	an arm	blue	1
a table	a reason	 weight	1
a reason	a table	an arm	1
 grief	white	 powerful	1
white	 grief	to seek	1
 weak	to hear	 soft	1
to hear	 weak	a boot	1
 chest	a mistake	a table	0
an arm	a table	a mistake	0
to lose	to forget	a shoe	1
to forget	to lose	to teach	1
 source	a business	to carry	1
a business	 source	a collar	1
a word	 sad	to seek	1
 sad	a word	a grandfather	0
 life	a grandfather	a word	0
 soft	to speak	 grass	1
to speak	 soft	to hear	1
to steal	 clever	a fish	0
to deceive	a fish	 clever	1
a fish	to deceive	 truth	1
 soft	to speak	 grass	1
to speak	 soft	 milk	1
a woman	 country	an item	1
 country	a woman	a box	0
 other	a box	a woman	1
a box	 other	to grow	0
to add	to grow	 other	1
to grow	to add	a knife	1
 source	a business	to carry	0
a roof	to carry	a business	1
to carry	a roof	 thick	1
a teacher	orange	an arm	1
orange	a teacher	yellow	0
blue	an arm	orange	0
 people	yellow	a teacher	1
yellow	 people	an item	0
white	an item	 people	1
 chest	a mistake	a table	1
a mistake	 chest	to sell	0
a nest	to sell	 chest	1
to sell	a nest	the ground	0
to choose	the ground	a nest	1
the ground	to choose	 money	0
a fish	 powerful	 under	1
 powerful	a fish	to deceive	0
 truth	to deceive	a fish	1
to deceive	 truth	 weight	0
a picture	 weight	 truth	1
 weight	a picture	 week	0
 thick	a roof	black	0
 powerful	black	a roof	1
black	 powerful	a fish	0
to win	a fish	 powerful	1
a fish	to win	purple	0
 clever	purple	to win	1
an arm	a table	a thigh	1
a table	an arm	orange	0
a vein	orange	an arm	1
orange	a vein	to forget	0
to lose	to forget	a vein	1
to forget	to lose	purple	0
to speak	 grass	to choose	1
to hear	 soft	to speak	1
 grass	to speak	 soft	0
 soft	to hear	to lose	0
to teach	to lose	to hear	1
to lose	to teach	 hair	0
to know	the ground	to choose	1
the ground	to know	to lose	1
 milk	 gentle	to hear	1
 gentle	 milk	green	1
orange	a thigh	pink	1
a thigh	orange	a vein	1
a month	a needle	 thin	1
a needle	a month	 cheap	1
a shelf	a gift	 other	1
a gift	a shelf	a family	0
to carry	a family	a shelf	1
a family	to carry	a roof	0
 thick	a roof	to carry	1
a roof	 thick	 gentle	0
green	 milk	to win	1
 milk	green	a pillow	0
to eat	a pillow	green	1
a pillow	to eat	 sad	0
 noise	 sad	to eat	1
 sad	 noise	a chair	0
 milk	 soft	to hear	1
 soft	 milk	green	0
 grief	green	 milk	1
green	 grief	to bother	0
to lose	to bother	 grief	1
to bother	to lose	to teach	0
white	an item	a shelf	1
an item	white	 meat	0
to deceive	 meat	white	1
 meat	to deceive	 truth	0
a mistake	 truth	to deceive	1
 truth	a mistake	 chest	0
a business	a toe	a heel	0
 famous	a heel	a toe	1
a heel	 famous	a reason	0
 weight	a reason	 famous	1
a reason	 weight	a picture	0
a bed	a picture	 weight	1
purple	to win	to teach	1
to win	purple	 clever	0
to steal	 clever	purple	1
 clever	to steal	to arrive	1
a leg	orange	a vein	1
orange	a leg	blue	1
 cheap	 week	brown	0
to disturb	brown	 week	1
brown	to disturb	a leg	0
blue	a leg	to disturb	1
a leg	blue	 people	0
an item	 people	blue	1
a nest	 cheap	red	0
 grief	red	 cheap	1
red	 grief	to seek	0
 country	to seek	 grief	1
to seek	 country	a woman	0
a box	a woman	 country	1
 week	 cheap	red	1
 cheap	 week	brown	1
a table	a reason	 weight	1
a reason	a table	an arm	0
orange	an arm	a table	1
an arm	orange	a teacher	0
yellow	a teacher	orange	1
a teacher	yellow	 people	0
a boot	 weak	a gift	0
a shelf	a gift	 weak	1
a gift	a shelf	a family	0
to carry	a family	a shelf	1
a family	to carry	a roof	0
 thick	a roof	to carry	1
to deceive	a fish	to win	1
a fish	to deceive	 truth	0
a mistake	 truth	to deceive	1
 truth	a mistake	 chest	0
to sell	 chest	a mistake	1
 chest	to sell	a nest	1
white	an item	a shelf	1
an item	white	a pillow	0
to eat	a pillow	white	1
a pillow	to eat	to win	0
purple	to win	to eat	1
to win	purple	 child	0
 dirt	 memory	to seek	1
 memory	 dirt	to speak	0
 grass	to speak	 dirt	1
to speak	 grass	to choose	0
 money	to choose	 grass	1
to choose	 money	a needle	0
a shelf	an item	white	1
an item	a shelf	a family	0
to carry	a family	a shelf	1
a family	to carry	a roof	0
 thick	a roof	to carry	1
a roof	 thick	a gift	0
a nest	 money	a needle	1
 money	a nest	the ground	0
to know	the ground	a nest	1
the ground	to know	to lose	0
purple	to lose	to know	0
 chest	a mistake	a table	1
a mistake	 chest	to sell	0
to arrive	to sell	 chest	1
to sell	to arrive	a message	0
to destroy	a message	to arrive	1
a message	to destroy	a nose	0
a boot	 weak	a gift	1
 weak	a boot	 famous	0
a reason	 famous	a boot	1
 famous	a reason	a table	0
an arm	a table	a reason	1
a table	an arm	blue	0
 power	 life	to carry	1
 life	 power	 under	1
 thin	a knife	a month	1
a knife	 thin	a gift	0
a shelf	a gift	 thin	1
a gift	a shelf	a family	0
to carry	a family	a shelf	1
a family	to carry	a roof	0
 clever	red	 child	0
a shirt	 child	red	1
 child	a shirt	 pain	0
 pain	to bother	a leg	1
to bother	 pain	a shirt	1
pink	 chest	to sell	1
 chest	pink	 child	1
 sick	 under	 thick	1
 under	 sick	a word	0
a grandfather	a word	 sick	1
a word	a grandfather	to carry	0
a roof	to carry	a grandfather	1
to carry	a roof	 thick	0
 noise	 sad	a word	1
 sad	 noise	a chair	0
a thigh	a chair	 noise	1
a chair	a thigh	orange	0
a vein	orange	a thigh	1
orange	a vein	to forget	0
to disturb	a leg	orange	1
a leg	to disturb	to believe	1
yellow	a teacher	 hair	0
a cloud	 hair	a teacher	1
 hair	a cloud	 clothes	1
yellow	 child	a shirt	0
a story	a shirt	 child	1
a shirt	a story	a bed	0
gray	a bed	a story	1
a bed	gray	 clothes	0
 pain	 clothes	gray	1
 dirt	 memory	to seek	1
 memory	 dirt	to speak	0
 grass	to speak	 dirt	1
to speak	 grass	a pillow	0
a pillow	to eat	 sad	0
to eat	a pillow	 grass	1
to melt	a nose	 memory	1
a family	a corner	to melt	1
a nose	to melt	a corner	0
a corner	a family	to carry	0
a roof	to carry	a family	1
to carry	a roof	 thick	0
a pillow	green	 grief	1
green	a pillow	to eat	0
 sad	to eat	a pillow	1
to eat	 sad	a word	0
a grandfather	a word	 sad	1
a word	a grandfather	 life	0
to destroy	a message	 week	1
 money	to arrive	to destroy	1
a message	to destroy	to arrive	0
to arrive	 money	a needle	0
 thin	a needle	 money	1
a needle	 thin	 gentle	0
to lose	to forget	a leg	0
orange	a leg	to forget	1
a leg	orange	a vein	0
to forget	a vein	orange	1
a vein	to forget	a shoe	0
a heel	a shoe	to forget	0
a teacher	orange	 clever	1
orange	a teacher	yellow	0
 powerful	yellow	a teacher	1
yellow	 powerful	a fish	0
to deceive	a fish	 powerful	1
a fish	to deceive	 truth	0
a ladder	 naked	a box	1
 naked	a ladder	black	1
 truth	to deceive	to arrive	1
to deceive	 truth	a mistake	0
 chest	a mistake	 truth	1
a mistake	 chest	pink	0
 grief	pink	 chest	1
pink	 grief	to seek	0
 meat	brown	 powerful	1
brown	 meat	to win	0
purple	to win	 meat	1
to win	purple	 clever	0
a fish	 clever	purple	1
 clever	a fish	to deceive	0
a leg	to forget	to lose	1
to forget	a leg	orange	0
a teacher	orange	a leg	1
orange	a teacher	yellow	0
 people	yellow	a teacher	1
yellow	 people	an item	0
black	a ladder	 thick	0
 gentle	 thick	a ladder	1
 thick	 gentle	 milk	0
green	 milk	 gentle	1
 milk	green	a pillow	0
to eat	a pillow	green	1
 country	to seek	 money	1
to seek	 country	a woman	0
a box	a woman	 country	1
a woman	a box	 other	1
 child	pink	 clever	1
pink	 child	a shirt	0
 pain	a shirt	 child	1
a shirt	 pain	to bother	0
a leg	to bother	 pain	1
to bother	a leg	orange	0
 country	a woman	a box	0
a box	 other	an item	0
 other	a box	a woman	1
a woman	 country	an item	1
white	an item	 other	1
an item	white	 grief	0
gray	 clothes	 pain	1
 clothes	gray	 grief	1
 noise	to sell	 life	0
a month	 life	to sell	1
 life	a month	an item	1
a knife	to deceive	 life	1
to deceive	a knife	a boot	1
 child	 source	to eat	1
 source	 child	to hear	1
to believe	 truth	to forget	1
 truth	to believe	 naked	1
a picture	a grandfather	a month	1
a grandfather	a picture	 chest	0
to win	 chest	a picture	1
 chest	to win	a pillow	1
a ladder	a collar	white	0
a teacher	white	a collar	0
 life	to steal	 week	1
to steal	 life	a month	0
a chair	a month	 life	0
a message	 people	to destroy	1
 people	a message	 chest	1
 week	to destroy	 life	0
 thin	 life	to destroy	1
 life	 thin	to deceive	0
a knife	to deceive	 thin	1
to deceive	a knife	a boot	0
 thick	a boot	a knife	1
to steal	a nest	a shirt	0
a ladder	a shirt	a nest	1
a shirt	a ladder	green	1
 sick	gray	 soft	1
gray	 sick	a chair	1
to speak	 weight	 sad	0
to carry	 sad	 weight	1
 sad	to carry	a woman	0
a box	a woman	to carry	1
a woman	a box	a shirt	0
a ladder	a shirt	a box	1
to read	to add	a cheek	1
to add	to read	 grass	0
 truth	 grass	to read	1
 grass	 truth	to believe	0
 naked	to believe	 truth	0
a month	a family	a picture	0
 chest	a picture	a family	0
a chair	 sick	to carry	0
a woman	to carry	 sick	1
to carry	a woman	a box	0
a shirt	a box	a woman	1
a box	a shirt	a ladder	1
a boot	a knife	 clever	1
a knife	a boot	a story	0
